No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
723,APLD,Applied Digital Corporation,821940130,8.57,15.97%,40877000
724,SHYF,"The Shyft Group, Inc.",821205504,23.52,0.04%,1063720000
725,AVTA,"Avantax, Inc.",819997125,21.25,0.71%,536923000
726,SPHR,Sphere Entertainment Co.,819904470,23.61,-4.72%,1860255000
727,EVLV,"Evolv Technologies Holdings, Inc.",819328036,5.52,-1.60%,65066000
728,DRQ,"Dril-Quip, Inc.",818440955,23.95,0.17%,369798000
729,AXL,"American Axle & Manufacturing Holdings, Inc.",817969800,6.99,-0.71%,5860100000
730,BASE,"Couchbase, Inc.",816941367,17.91,2.75%,154824000
731,XMTR,"Xometry, Inc.",813831509,17.01,-1.16%,402708000
732,OSTK,"Overstock.com, Inc.",813582000,18.00,-2.96%,1774437000
733,WEST,"Westrock Coffee Company, LLC",811581352,10.71,1.04%,886886000
734,BCSF,"Bain Capital Specialty Finance, Inc.",809611242,12.54,1.21%,248271000
735,SPRY,"ARS Pharmaceuticals, Inc.",809419360,8.57,10.58%,1336000
736,VTLE,"Vital Energy, Inc.",809332736,43.52,-0.66%,1720908000
737,ACEL,"Accel Entertainment, Inc.",808447978,9.40,-0.42%,1066114000
738,JRVR,"James River Group Holdings, Ltd.",806931840,21.45,-0.28%,847349000
739,COLL,"Collegium Pharmaceutical, Inc.",805020996,23.27,3.28%,524949000
740,MTTR,"Matterport, Inc.",804760960,2.72,-4.90%,145609000
741,PHAR,Pharming Group N.V.,803369952,12.24,2.77%,219071739
742,SMP,"Standard Motor Products, Inc.",802895730,37.05,0.05%,1377012000
743,SCHN,"Schnitzer Steel Industries, Inc.",802387200,29.44,-0.17%,3259182000
744,VECT,VectivBio Holding AG,801962420,11.90,8.18%,27341000
745,LICY,Li-Cycle Holdings Corp.,801323656,4.54,-0.66%,
746,ARCE,Arco Platform Limited,799686048,12.12,-0.41%,335619471
747,DYN,"Dyne Therapeutics, Inc.",798856590,13.70,4.10%,
748,PDM,"Piedmont Office Realty Trust, Inc.",798733780,6.46,1.25%,569984000
749,GABC,"German American Bancorp, Inc.",797293472,26.96,-2.35%,258347000
750,ACCD,"Accolade, Inc.",796719880,10.82,1.98%,363142000
751,NXU,"Nxu, Inc.",795619417,0.51,0.60%,
752,COGT,"Cogent Biosciences, Inc.",795313628,11.21,3.99%,
753,BHE,"Benchmark Electronics, Inc.",794036670,22.29,0.32%,2944943000
754,CFFN,"Capitol Federal Financial, Inc.",791083836,5.81,-1.02%,203461000
755,RBCAA,"Republic Bancorp, Inc.",789916000,40.00,-1.67%,308323000
756,SCS,Steelcase Inc.,789694290,6.93,-3.21%,3232600000
757,RPT,RPT Realty,787973922,9.09,0.33%,213814000
758,EOCW,Elliott Opportunity II Corp.,784731322,10.30,,
759,TITN,Titan Machinery Inc.,784188240,34.60,-0.69%,2209306000
760,FBMS,"The First Bancshares, Inc.",783128918,25.22,-2.44%,225915000
761,TDS,"Telephone and Data Systems, Inc.",782382336,6.95,0.29%,5401000000
762,TGI,"Triumph Group, Inc.",782077518,12.03,-0.91%,1372490000
763,CAL,"Caleres, Inc.",780761376,21.51,-8.12%,2968138000
764,TMST,TimkenSteel Corporation,780115280,17.78,-0.78%,1301400000
765,TMP,Tompkins Financial Corporation,775148760,53.70,-1.68%,303816000
766,ASTL,Algoma Steel Group Inc.,774688640,7.48,1.63%,2221094891
767,CRESY,Cresud S.A.C.I.F. y A.,774274341,6.26,3.64%,766800000
768,BXC,BlueLinx Holdings Inc.,774198465,85.18,-1.53%,3945813000
769,IIIV,"i3 Verticals, Inc.",773380106,23.23,-1.78%,345704000
770,CNDT,Conduent Incorporated,773288248,3.54,-0.84%,3813000000
771,NAT,Nordic American Tankers Limited,772545200,3.70,2.78%,339340000
772,KRUS,"Kura Sushi USA, Inc.",770338587,69.48,0.97%,163229000
773,NFGC,New Found Gold Corp.,769444080,4.39,3.78%,
774,SCWX,SecureWorks Corp.,769002576,8.97,-0.77%,463475000
775,SLRC,SLR Investment Corp.,767583222,14.07,0.79%,198046000
776,RNA,"Avidity Biosciences, Inc.",766263744,10.82,1.22%,9662000
777,AVXL,Anavex Life Sciences Corp.,763916227,9.45,1.72%,
778,MRC,MRC Global Inc.,762964344,9.06,-2.16%,3506000000
779,EDN,Empresa Distribuidora y Comercializadora Norte SA,762588442,8.72,-2.61%,1166865079
780,ARDX,"Ardelyx, Inc.",761340100,3.55,-2.47%,63059000
781,BJRI,"BJ's Restaurants, Inc.",761306238,32.34,-3.14%,1326477000
782,WLKP,Westlake Chemical Partners LP,761145259,21.61,0.70%,1538424000
783,MFIC,MidCap Financial Investment Corporation,760545268,11.62,0.61%,226192000
784,EFXT,Enerflex Ltd.,759757460,6.14,-1.44%,1652009420
785,UBA,Urstadt Biddle Properties Inc.,759181520,19.80,-1.49%,145845000
786,BRSP,"BrightSpire Capital, Inc.",756285720,5.82,,228086000
787,FDMT,"4D Molecular Therapeutics, Inc.",755585635,18.05,2.38%,2207000
788,GGR,Gogoro Inc.,754562575,3.09,-1.28%,367690000
789,GTN,"Gray Television, Inc.",754485290,7.89,-2.47%,3650000000
790,HRT,HireRight Holdings Corporation,753880916,10.21,0.29%,783404000
791,AAC,Ares Acquisition Corporation,751649766,10.44,-0.14%,
792,HUYA,HUYA Inc.,750893260,3.13,-0.95%,1267125619
793,GIII,"G-III Apparel Group, Ltd.",749520972,16.44,-5.03%,3226728000
794,IMTX,Immatics N.V.,749074654,9.77,0.93%,79719000
795,TELL,Tellurian Inc.,748536002,1.33,0.76%,295921000
796,GOTU,Gaotu Techedu Inc.,746919383,2.88,-2.37%,358423816
797,KREF,KKR Real Estate Finance Trust Inc.,746916950,10.81,-0.83%,209030000
798,AOSL,Alpha and Omega Semiconductor Limited,746320920,27.15,1.15%,723755000
799,EXAI,Exscientia plc,744943400,6.04,6.71%,32798795
800,TWST,Twist Bioscience Corporation,744626713,13.03,-0.61%,227842000
801,PGRU,PropertyGuru Limited,744616400,4.58,,101104582
802,PLPC,Preformed Line Products Company,742933500,150.00,0.05%,680621000
803,MODV,ModivCare Inc.,740913180,52.30,-0.42%,2600571000
804,VTEX,VTEX,740030496,3.94,-4.60%,165235000
805,HSC,Harsco Corporation,739972352,9.28,-0.96%,1931921000
806,HSTM,"HealthStream, Inc.",739755075,24.11,1.60%,270405000
807,EB,"Eventbrite, Inc.",738950487,7.39,-3.90%,282966000
808,THR,"Thermon Group Holdings, Inc.",738084308,22.03,1.19%,420693000
809,CENX,Century Aluminum Company,735822280,7.97,-0.99%,2576100000
810,REPX,"Riley Exploration Permian, Inc.",735237546,36.43,0.52%,321510000
811,ROCC,Ranger Oil Corporation,735066429,38.67,0.61%,1146882000
812,NEXA,Nexa Resources S.A.,735036450,5.55,-2.46%,2979172000
813,BCYC,Bicycle Therapeutics plc,734864010,24.46,5.11%,15499000
814,SCSC,"ScanSource, Inc.",732054120,29.40,-0.61%,3802856000
815,BTAI,"BioXcel Therapeutics, Inc.",731619590,25.22,-4.94%,581000
816,NRDS,"NerdWallet, Inc.",729643290,9.51,0.63%,579400000
817,INN,"Summit Hotel Properties, Inc.",728639820,6.78,-2.45%,716209000
818,SP,SP Plus Corporation,727917480,37.08,-0.78%,1629000000
819,CRON,Cronos Group Inc.,727358560,1.91,4.95%,87015000
820,HHRS,Hammerhead Energy Inc.,726512842,7.99,6.82%,446335445
821,OFIX,Orthofix Medical Inc.,726135241,19.87,1.58%,529499000
822,MYE,"Myers Industries, Inc.",725281158,19.74,0.51%,889800000
823,BIOX,Bioceres Crop Solutions Corp.,724484904,11.44,0.26%,395238477
824,BRDS,"Bird Global, Inc.",724029607,2.40,-14.29%,208053000
825,BRKL,"Brookline Bancorp, Inc.",723507249,8.16,-1.92%,317398000
826,CBL,"CBL & Associates Properties, Inc.",721049641,22.49,-0.97%,559268000
827,BFC,Bank First Corporation,719140424,69.22,-1.68%,129309000
828,MGIC,Magic Software Enterprises Ltd.,718477519,14.64,1.35%,570527000
829,PRAA,"PRA Group, Inc.",717982434,18.33,-0.70%,881389000
830,AMAM,Ambrx Biopharma Inc.,717982200,13.00,-5.59%,
831,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",717774096,19.76,1.07%,166672000
832,PNTM,Pontem Corporation,715530000,10.37,-0.14%,
833,ACHR,Archer Aviation Inc.,713628520,3.25,3.17%,
834,ULH,"Universal Logistics Holdings, Inc.",711353280,27.06,-1.06%,1928991000
835,APGB,Apollo Strategic Growth Capital II,710700000,10.30,1.08%,
836,BALY,Bally's Corporation,710665340,15.40,-1.16%,2306154000
837,ARCT,Arcturus Therapeutics Holdings Inc.,710028990,26.73,-3.15%,281040000
838,GRNT,"Granite Ridge Resources, Inc",707090220,5.31,-11.50%,586917850
839,RAPT,"RAPT Therapeutics, Inc.",706820100,20.58,2.44%,886000
840,AMRX,"Amneal Pharmaceuticals, Inc.",705598793,2.31,2.67%,2272211000
841,WRLD,World Acceptance Corporation,705301650,112.65,0.11%,621646768
842,LXU,"LSB Industries, Inc.",704194212,9.25,-2.22%,883694000
843,CCVI,Churchill Capital Corp VI,703800000,10.20,,
844,AMPS,"Altus Power, Inc.",702735800,4.42,-8.68%,111342000
845,QTRX,Quanterix Corporation,702535386,18.78,3.99%,104426000
846,PWP,Perella Weinberg Partners,702449854,8.09,2.53%,611057000
847,POWL,"Powell Industries, Inc.",702272047,59.21,-0.02%,596460000
848,RICK,"RCI Hospitality Holdings, Inc.",700005231,74.23,-2.38%,283577000
849,TXO,"MorningStar Partners, L.P.",698947500,22.73,0.93%,414334000
850,HOUS,Anywhere Real Estate Inc.,698642100,6.33,-1.86%,6404000000
851,PRTC,PureTech Health plc,698464112,25.12,-3.38%,15618000
852,CAPL,CrossAmerica Partners LP,698335200,18.40,-0.65%,4890372000
853,NX,Quanex Building Products Corporation,697347926,20.98,-0.29%,1216378000
854,CANO,"Cano Health, Inc.",694950372,1.28,-2.29%,2901683000
855,BKD,Brookdale Senior Living Inc.,692627520,3.68,-1.34%,2900822000
856,CHUY,"Chuy's Holdings, Inc.",691150196,38.14,-1.78%,434227000
857,SSP,The E.W. Scripps Company,690501406,8.19,1.11%,2415287000
858,ADTN,"ADTRAN Holdings, Inc.",689806946,8.77,0.80%,1194930000
859,RSI,"Rush Street Interactive, Inc.",689766922,3.11,-2.20%,619635000
860,PACW,PacWest Bancorp,688980930,5.73,-1.88%,1324217000
861,LYEL,"Lyell Immunopharma, Inc.",688920818,2.76,9.52%,84195000
862,PRA,ProAssurance Corporation,688853175,12.75,-0.23%,1096291000
863,TWI,"Titan International, Inc.",688719934,10.91,,2162027000
864,RUTH,"Ruth's Hospitality Group, Inc.",688608047,21.43,0.05%,516583000
865,KELYA,"Kelly Services, Inc.",688550124,19.06,2.56%,4937300000
866,ETD,Ethan Allen Interiors Inc.,688175410,27.14,-1.06%,833690000
867,BYND,"Beyond Meat, Inc.",687867957,10.71,-6.22%,401714000
868,CUBI,"Customers Bancorp, Inc.",685937500,21.95,-0.99%,574443000
869,CGBD,"Carlyle Secured Lending, Inc.",685731150,13.50,0.90%,218122000
870,CRAI,"CRA International, Inc.",685122812,97.51,-0.15%,595364000
871,WOW,"WideOpenWest, Inc.",684941250,8.07,-1.94%,702500000
872,AMPX,"Amprius Technologies, Inc.",684871096,8.06,-5.40%,2978000
873,SMRT,"SmartRent, Inc.",684144397,3.43,-2.83%,195541000
874,EH,EHang Holdings Limited,681226272,11.28,-1.40%,6358250
875,LANV,Lanvin Group Holdings Limited,681049200,5.20,-2.80%,510522000
876,INDT,"INDUS Realty Trust, Inc.",680818480,66.76,-0.01%,51246000
877,CCSI,"Consensus Cloud Solutions, Inc.",680815411,34.63,-0.09%,366626000
878,NMM,Navios Maritime Partners L.P.,680356376,22.54,-1.01%,1210528000
879,GSL,"Global Ship Lease, Inc.",676649060,19.06,-0.16%,645645000
880,PSFE,Paysafe Limited,676387680,11.04,0.45%,1516318000
881,ALCC,AltC Acquisition Corp.,675951468,10.57,0.38%,
882,SNPO,Snap One Holdings Corp.,671517582,8.81,-8.80%,1098417000
883,RTL,"The Necessity Retail REIT, Inc.",670168137,4.69,1.30%,465089000
884,PFBC,Preferred Bank,669649440,46.40,-2.89%,274753000
885,BY,"Byline Bancorp, Inc.",669340075,17.75,-2.37%,306636000
886,IRON,"Disc Medicine, Inc.",669033820,33.80,0.66%,
887,PLOW,"Douglas Dynamics, Inc.",668374720,29.08,-0.10%,596012000
888,MDXG,"MiMedx Group, Inc.",667017770,5.77,2.49%,280623000
889,TRNS,"Transcat, Inc.",666188469,87.21,-0.50%,224382000
890,GHIX,"Gores Holdings IX, Inc.",666093689,10.15,,
891,BOC,Boston Omaha Corporation,665857371,21.27,5.66%,87757032
892,KOP,Koppers Holdings Inc.,664820184,31.92,-0.31%,2034600000
893,RWT,"Redwood Trust, Inc.",663648780,5.82,0.17%,-31551000
894,MPLN,MultiPlan Corporation,663029674,1.01,-7.34%,1018264000
895,RERE,ATRenew Inc.,662875920,2.94,,1415986227
896,HLVX,"HilleVax, Inc.",662875382,16.91,6.35%,
897,BZH,"Beazer Homes USA, Inc.",662048640,21.12,-2.85%,2343169000
898,GRC,The Gorman-Rupp Company,661523114,25.27,-1.29%,579326000
899,VTOL,Bristow Group Inc.,660713438,23.59,3.69%,1199826000
900,KARO,Karooooo Ltd.,659567941,21.31,1.48%,190394517
901,DCOM,"Dime Community Bancshares, Inc.",658985310,16.98,-2.47%,413142000
902,DDL,Dingdong (Cayman) Limited,657624960,3.04,-3.80%,3460704367
903,AMBC,"Ambac Financial Group, Inc.",657620769,14.51,-0.68%,443000000
904,CSTL,"Castle Biosciences, Inc.",656872893,24.61,4.68%,152224000
905,QCRH,"QCR Holdings, Inc.",652841028,39.06,-1.91%,318007000
906,LNZA,"LanzaTech Global, Inc.",652809680,3.34,-1.18%,46989000
907,DENN,Denny's Corporation,649822450,11.50,-0.61%,470793000
908,MVST,"Microvast Holdings, Inc.",649796717,2.10,-1.41%,214800000
909,BRMK,Broadmark Realty Capital Inc.,648210000,4.92,-0.61%,103705000
910,TBPH,"Theravance Biopharma, Inc.",647909975,11.21,2.94%,48567000
911,GNLX,Genelux Corporation,647475795,26.37,3.49%,11238000
912,KELYB,"Kelly Services, Inc.",646735146,18.05,-1.69%,4937300000
913,MVIS,"MicroVision, Inc.",646044780,3.67,11.89%,1096000
914,ZH,Zhihu Inc.,643490032,0.94,-5.58%,517205022
915,EDIT,"Editas Medicine, Inc.",643038992,9.32,-1.06%,22791000
916,DLX,Deluxe Corporation,642782274,14.79,-3.77%,2227360000
917,HROW,"Harrow Health, Inc.",642201040,21.32,1.77%,92578000
918,KAMN,Kaman Corporation,639031680,22.68,-1.61%,724455000
919,GHLD,Guild Holdings Company,637650186,10.44,-1.09%,786944000
920,FLWS,"1-800-FLOWERS.COM, Inc.",637396834,9.84,-3.10%,2104939000
921,RPAY,Repay Holdings Corporation,637162932,6.87,-1.15%,286199945
922,PDS,Precision Drilling Corporation,636828738,46.41,-1.55%,1322073913
923,SD,"SandRidge Energy, Inc.",634705800,17.20,-0.58%,239918000
924,ALEC,"Alector, Inc.",632640162,7.59,1.34%,125692000
925,NNDM,Nano Dimension Ltd.,632445430,2.45,-1.21%,11951954
926,DAO,"Youdao, Inc.",632249260,5.09,2.62%,719251363
927,SXC,"SunCoke Energy, Inc.",632087510,7.55,0.27%,2020500000
928,FNKO,"Funko, Inc.",631593625,12.46,-3.11%,1266241000
929,ECC,Eagle Point Credit Company Inc.,631179596,10.84,-1.19%,21885116
930,CIFR,Cipher Mining Inc.,629732180,2.53,6.30%,
931,CTBI,"Community Trust Bancorp, Inc.",629249663,34.99,-1.71%,224473000
932,GDYN,"Grid Dynamics Holdings, Inc.",627635184,8.38,2.20%,319152000
933,JOUT,Johnson Outdoors Inc.,627514139,61.20,-2.05%,780660000
934,BDN,Brandywine Realty Trust,627489779,3.65,,507822000
935,GPRO,"GoPro, Inc.",627281550,4.03,-0.98%,1051556000
936,CSWC,Capital Southwest Corporation,627245850,18.15,0.33%,103137000
937,ZYME,Zymeworks Inc.,626953601,9.77,1.88%,446144000
938,NRP,Natural Resource Partners L.P.,626044430,49.55,-1.53%,398465000
939,PGY,Pagaya Technologies Ltd.,625921334,0.89,-1.40%,765032000
940,DMRC,Digimarc Corporation,625842945,30.87,1.78%,30629000
941,RTC,Baijiayun Group Ltd,624204203,7.45,-0.80%,-12209439
942,VSEC,VSE Corporation,624064137,48.43,0.08%,973956000
943,UHG,"United Homes Group, Inc.",623746228,16.60,14.09%,571872651
944,EVA,Enviva Inc.,623628700,8.39,-1.29%,1130376000
945,SVM,Silvercorp Metals Inc.,622233948,3.52,1.44%,215572000
946,BANC,"Banc of California, Inc.",622024920,10.80,-1.37%,328276000
947,CLCO,Cool Company Ltd.,621712390,11.58,,212978000
948,EXK,Endeavour Silver Corp.,620476174,3.24,-0.31%,207881000
949,TCPC,BlackRock TCP Capital Corp.,620420802,10.74,1.42%,189159900
950,REVG,"REV Group, Inc.",619528394,10.42,2.16%,2378100000
951,ORGN,"Origin Materials, Inc.",618917760,4.32,-6.70%,1704000
952,VITL,"Vital Farms, Inc.",618841140,15.15,1.88%,404163000
953,MCRB,"Seres Therapeutics, Inc.",617761830,4.83,0.21%,5113000
954,NVAX,"Novavax, Inc.",617081494,7.15,-3.64%,1358852000
955,IAUX,i-80 Gold Corp.,616338000,2.25,0.90%,28631868
956,STEM,"Stem, Inc.",615890880,3.96,-3.65%,389297000
957,TYRA,"Tyra Biosciences, Inc.",615016565,14.45,8.89%,
958,AORT,"Artivion, Inc.",613539754,15.01,0.60%,319805000
959,HZO,"MarineMax, Inc.",613469850,28.07,-3.04%,2303568000
960,BV,"BrightView Holdings, Inc.",613360000,6.56,0.31%,2777100000
961,CIR,"CIRCOR International, Inc.",612935424,30.06,0.47%,804362000
962,YALA,Yalla Group Limited,612456911,3.92,-0.51%,304784853
963,NYAX,Nayax Ltd.,612411664,18.58,,
964,WTI,"W&T Offshore, Inc.",612206947,4.18,1.46%,861718000
965,GSBC,"Great Southern Bancorp, Inc.",612191437,50.83,-2.40%,235340000
966,MERC,Mercer International Inc.,611831352,9.21,-0.54%,2210862000
967,VMEO,"Vimeo, Inc.",611750310,3.69,-1.60%,428256000
968,AMTB,Amerant Bancorp Inc.,611013559,18.07,0.67%,330303000
969,LASR,"nLIGHT, Inc.",610731324,13.32,-1.77%,231690000
970,SCVL,"Shoe Carnival, Inc.",609583880,22.30,-5.15%,1262235000
971,VTS,"Vitesse Energy, Inc.",609452545,21.17,3.62%,
972,ABST,Absolute Software Corporation,606314572,11.51,1.50%,222056000
973,HIBB,"Hibbett, Inc.",605841145,47.53,-6.25%,1708316000
974,WW,"WW International, Inc.",605690501,7.70,-4.23%,984991000
975,UHT,Universal Health Realty Income Trust,605171744,43.84,-0.88%,91676000
976,ATEX,Anterix Inc.,604936934,32.06,3.05%,1646000
977,CHS,"Chico's FAS, Inc.",604846200,4.90,-5.22%,2142020000
978,SLI,Standard Lithium Ltd.,603932000,3.50,-11.62%,
979,AMWL,American Well Corporation,603868350,2.15,-4.02%,276959000
980,CCO,"Clear Channel Outdoor Holdings, Inc.",603553760,1.25,3.31%,2500881000
981,YORW,The York Water Company,603421497,42.21,-2.04%,61222000
982,HCAT,"Health Catalyst, Inc.",601984140,10.70,,282017000
983,IIIN,"Insteel Industries, Inc.",600733080,30.90,-0.58%,761114000
984,GMRE,Global Medical REIT Inc.,598332255,8.58,-1.94%,141639000
985,GPRK,GeoPark Limited,596122740,10.35,,982879000
986,EHAB,"Enhabit, Inc.",595561777,11.89,-1.00%,1061900000
987,SOUN,"SoundHound AI, Inc.",592276227,2.73,-3.53%,33546000
988,BH,Biglari Holdings Inc.,591568973,193.98,0.57%,373035000
989,UFCS,"United Fire Group, Inc.",591057566,23.42,-1.18%,1002376000
990,ADV,Advantage Solutions Inc.,589963920,1.82,-1.09%,4146917000
991,ENFN,"Enfusion, Inc.",589436090,7.85,2.08%,157179000
992,RMAX,"RE/MAX Holdings, Inc.",589123200,19.20,0.05%,347783000
993,MYPS,"PLAYSTUDIOS, Inc.",589067884,4.46,4.69%,299981000
994,BROG,Brooge Energy Limited,589035500,5.38,-5.70%,81540776
995,ATNI,"ATN International, Inc.",588623640,37.40,1.00%,739499000
996,ALLG,Allego N.V.,587513048,2.21,-3.49%,142446809
997,DX,"Dynex Capital, Inc.",587131475,10.85,-1.36%,-157917000
998,LDI,"loanDepot, Inc.",584928614,1.84,3.37%,960387000
999,EGLE,Eagle Bulk Shipping Inc.,584529771,42.63,-1.57%,640647000
1000,LWLG,"Lightwave Logic, Inc.",583496100,5.10,-7.10%,
1001,BELFB,Bel Fuse Inc.,583303924,45.74,0.53%,689858000
1002,SLGC,"SomaLogic, Inc.",582459000,3.10,2.65%,95065000
1003,GNK,Genco Shipping & Trading Limited,582355490,13.70,-1.08%,495098000
1004,AMCX,AMC Networks Inc.,582084858,13.38,-4.36%,3101835000
1005,ARQT,"Arcutis Biotherapeutics, Inc.",581669181,9.47,0.21%,6467000
1006,BLTE,"Belite Bio, Inc",580817899,23.02,0.27%,
1007,EWTX,"Edgewise Therapeutics, Inc.",580272098,9.17,-1.50%,
1008,ZING,FTAC Zeus Acquisition Corp.,579436032,10.34,-0.10%,
1009,AMOT,Allied Motion Technologies Inc.,578710580,35.80,0.39%,533752000
1010,ACRS,"Aclaris Therapeutics, Inc.",578157492,8.18,0.74%,30827000
1011,PHAT,"Phathom Pharmaceuticals, Inc.",577450684,13.24,2.32%,
1012,ALDX,"Aldeyra Therapeutics, Inc.",576977540,9.85,2.07%,
1013,TK,Teekay Corporation,575694954,6.03,3.79%,1396165000
1014,EGBN,"Eagle Bancorp, Inc.",575625336,18.74,-3.35%,335787000
1015,MKTW,"MarketWise, Inc.",574678692,1.76,-3.83%,501838000
1016,KE,"Kimball Electronics, Inc.",574098246,23.22,0.69%,1700785000
1017,PERF,Perfect Corp.,573580400,4.85,1.25%,
1018,VYGR,"Voyager Therapeutics, Inc.",573363852,13.17,7.33%,190728000
1019,TSVT,"2seventy bio, Inc.",573276006,11.42,2.88%,124688000
1020,AACT,Ares Acquisition Corporation II,573187500,10.19,0.39%,
1021,HBT,"HBT Financial, Inc.",572570883,17.87,-1.76%,186806000
1022,GHRS,GH Research PLC,572228800,11.00,3.38%,
1023,IRMD,IRadimed Corporation,571929868,45.41,-0.79%,56467518
1024,ALTI,"AlTi Global, Inc.",571922240,4.78,-5.53%,
1025,BELFA,Bel Fuse Inc.,571880880,44.40,1.60%,689858000
1026,TERN,"Terns Pharmaceuticals, Inc.",571853777,10.09,0.50%,
1027,HAYN,"Haynes International, Inc.",571630880,44.90,-0.38%,559434000
1028,PAHC,Phibro Animal Health Corporation,571100718,14.10,1.66%,978105000
1029,PBI,Pitney Bowes Inc.,570784500,3.25,-0.31%,3445638000
1030,LXRX,"Lexicon Pharmaceuticals, Inc.",570581620,3.01,4.15%,126000
1031,CLFD,"Clearfield, Inc.",570492120,37.40,-0.95%,324030000
1032,CGC,Canopy Growth Corporation,567894360,1.09,3.81%,321869343
1033,CVGW,"Calavo Growers, Inc.",567588973,31.99,1.88%,1143185000
1034,ACMR,"ACM Research, Inc.",567370914,9.73,-0.21%,420902000
1035,BBSI,"Barrett Business Services, Inc.",567041184,83.31,0.92%,1062618000
1036,MOV,"Movado Group, Inc.",566577928,25.59,-1.20%,751898000
1037,FPI,Farmland Partners Inc.,566292278,10.91,0.46%,59992000
1038,ICPT,"Intercept Pharmaceuticals, Inc.",565277076,13.56,,294522000
1039,OSPN,OneSpan Inc.,564086940,14.12,1.22%,224166000
1040,EOLS,"Evolus, Inc.",562966492,9.89,,156429000
1041,WBX,Wallbox N.V.,562040264,3.26,-0.91%,144185000
1042,HFWA,Heritage Financial Corporation,560990400,16.00,-1.78%,257618000
1043,JANX,"Janux Therapeutics, Inc.",558892888,13.36,6.03%,9071000
1044,AGX,"Argan, Inc.",558418683,41.61,-0.31%,455040000
1045,MESO,Mesoblast Limited,558327640,3.79,-1.04%,7874000
1046,ENTA,"Enanta Pharmaceuticals, Inc.",558178654,26.51,5.37%,81176000
1047,CMPO,"CompoSecure, Inc.",555836335,7.12,-2.20%,389609000
1048,ATRO,Astronics Corporation,554982386,17.09,-0.75%,575256000
1049,SWBI,"Smith & Wesson Brands, Inc.",553072105,12.05,0.33%,515765000
1050,CLW,Clearwater Paper Corporation,551640543,32.61,-0.06%,2117400000
1051,SBOW,"SilverBow Resources, Inc.",551395146,24.38,-1.73%,763718000
1052,DXPE,"DXP Enterprises, Inc.",550864530,31.73,-0.75%,1585688000
1053,CRMT,"America's Car-Mart, Inc.",550561693,86.43,-2.08%,1375089000
1054,DM,"Desktop Metal, Inc.",549696600,1.71,-2.84%,206633000
1055,MTW,"The Manitowoc Company, Inc.",549283527,15.63,-1.39%,2081800000
1056,ITOS,"iTeos Therapeutics, Inc.",547184610,15.30,4.15%,127703000
1057,CNOB,"ConnectOne Bancorp, Inc.",545764863,13.93,-1.62%,294526000
1058,BFAC,Battery Future Acquisition Corp.,544410042,10.52,,
1059,CION,CION Investment Corporation,544123075,9.89,1.85%,218190000
1060,LAND,Gladstone Land Corporation,543567080,15.22,-0.59%,90495000
1061,HCKT,"The Hackett Group, Inc.",542698428,19.96,2.25%,289307000
1062,PFLT,PennantPark Floating Rate Capital Ltd.,542076620,10.90,-0.18%,120407000
1063,SMR,NuScale Power Corporation,541692828,7.69,-1.28%,14864000
1064,TRST,TrustCo Bank Corp NY,540483204,28.41,-1.56%,205591000
1065,EXFY,"Expensify, Inc.",539977272,6.52,-1.51%,169225000
1066,EBIX,"Ebix, Inc.",539229430,17.45,,1006654000
1067,LQDA,Liquidia Corporation,537155250,8.30,6.14%,16936000
1068,UVSP,Univest Financial Corporation,536792256,18.24,-1.46%,289014000
1069,PTSI,"P.A.M. Transportation Services, Inc.",535409190,24.30,1.04%,949138000
1070,CASS,"Cass Information Systems, Inc.",534257675,38.95,0.33%,189718000
1071,OSBC,"Old Second Bancorp, Inc.",533301294,11.94,-1.73%,255962000
1072,CFIV,CF Acquisition Corp. IV,532440000,10.44,,
1073,BIGC,"BigCommerce Holdings, Inc.",531540074,7.13,-1.52%,284782000
1074,ICG,Intchains Group Limited,531365184,8.86,-0.23%,67600850
1075,NPK,"National Presto Industries, Inc.",531099525,74.78,-0.53%,341278000
1076,SKYH,Sky Harbour Group Corporation,530729041,5.35,-2.55%,2556000
1077,ASC,Ardmore Shipping Corporation,530442192,12.88,3.54%,500606000
1078,AWH,Aspira Women's Health Inc.,529758320,4.24,,8607000
1079,GTX,Garrett Motion Inc.,528121548,8.13,-2.05%,3672000000
1080,MTLS,Materialise NV,526879424,8.92,0.56%,273360870
1081,EBF,"Ennis, Inc.",526625610,20.37,-0.10%,431837000
1082,LIND,"Lindblad Expeditions Holdings, Inc.",526391078,9.89,-2.99%,497048000
1083,NKLA,Nikola Corporation,526329211,0.76,2.65%,60055000
1084,FORR,"Forrester Research, Inc.",526080000,27.40,0.77%,526486000
1085,BRY,Berry Corporation,525697876,6.82,0.44%,1079228000
1086,VTNR,"Vertex Energy, Inc.",525464664,6.92,-3.08%,3369481000
1087,CALT,Calliditas Therapeutics AB (publ),525448880,19.58,-0.46%,77199904
1088,IONR,ioneer Ltd,525109585,10.01,-3.19%,
1089,VTRU,Vitru Limited,525102816,15.54,1.11%,306340619
1090,TNP,Tsakos Energy Navigation Limited,524609568,17.78,2.54%,860400000
1091,REX,REX American Resources Corporation,523786800,30.12,0.43%,855000000
1092,AMRN,Amarin Corporation plc,521839370,1.28,-1.54%,360538000
1093,DOMO,"Domo, Inc.",521194417,14.96,-1.90%,308645000
